This file contains the actual data for your assignment - good luck!
Name	Comments
Clifford	97
Moryn	95
Maryse	91
Daud	91
Kade	90
Lulu	90
Josie	87
Anneroy	86
Roos	86
Zakariya	84
Luella	82
Rhuairidh	81
Mylo	79
Grainne	78
Faizaan	78
Reece	77
Jayhan	74
Oluwademilade	71
Tokunbo	71
Alexis	69
Phillipa	67
Natascha	66
Adriana	64
Klevis	63
Leven	60
Marcous	53
Kahlea	53
Holly	52
Amilie	50
Keziah	49
Damon	48
Georgina	47
Peige	45
Lidia	38
Ines	38
Sarah	29
Jadyn	28
Kaceylee	26
Pearce	22
Tehzeeb	20
Jiao	20
Anneliese	15
Kinsey	14
Vaimante	14
Jensine	13
Naz	10
Myleene	8
Odin	7
Garrett	3
Amaney	3

http://py4e-data.dr-chuck.net/comments_1538696.html
